,rdfs:comment
1934,"Erotic art, created by intersex artists, depicting intersex people, or that are regarded as important within intersex culture."
1935,Artists who are intersex
1936,Professional or amateur sports players who are intersex.
1937,Written literary works about intersex characters or themes.
1938,Intersex people who are autistic.
1939,Accounts of individuals' lives written by those individuals; use for autobiographies written by intersex authors.
1940,Written accounts of the lives of individuals known to be intersex.
1941,Intersex people with significant or total loss of vision.
1942,Intersex people who are disabled.
1943,Children younger than 18 years who describe themselves as intersex.
1944,"Intersex people who seek to entertain an audience by making them laugh, through jokes, slapstick, employing prop comedy, or other amusing means."
1945,Works consisting of sequential images often accompanied by text; use in reference to comics focusing on intersexual characters or themes.
1946,Groups of people who share the experience of being intersex.
1947,Intersex people with significant or total hearing loss. Some but not all Deaf people prefer to capitalize Deaf in recognition of the cultural and linguistic identity they share with other Deaf people.
1948,Intersex people who have long-term health conditions that require continued medical attention and/or significantly impact or limit daily life; some but not all people with chronic illnesses consider themselves disabled.
1949,Works of fiction written to be performed; use in reference to dramatic works focusing on intersex characters or themes.
1950,Employment of intersex people.
1951,"Erotic films or movies, created by intersex directors, depicting intersex people, or that are regarded as important within intersex culture."
1952,Erotic or sexually explicit films featuring intersex people.
1953,Literary works that have erotic or sexual elements; use in reference to erotic literature focusing on intersex characters or themes.
